cruise,date,station,depth,btl_sal,btl_temp,PO4,SiO2,NO2,NO3NO2,BSi,LSi,CHL,POC,PON,NO3,mld,strat,N2P,N2Si,Si2P,TChla,TChlb,TChlc,ABCar,Butfuco,Hexfuco,Allo,Diadino,Diato,Fuco,Perid,Zea,MVChla,DVChla,Chlide,MVChlb,DVChlb,Chlc1c2,Chlc3,Lut,Neo,Viola,Phytin,Phide,Pras,Gyro,DVChla_lod_mod,Pras_lod_mod,mdl_TChla,mdl_Fuco,mdl_Perid,mdl_TChlb,mdl_Hex,mdl_Zea
226,20110322,1,0,33.2071,12.1351,0.59601262,9.33599368,0.26812,7.8948122,4.783698671,2.813767845,7.634873121,639.4825397,113.9238095,7.6266922,NaN,NaN,12.79619247,0.816912742,15.66408725,5.023,0.119,1.125,0.171,0.007,0.022,0.156,0.363,0.036,2.349,0.089,0,3.578,0,1.445,0.119,0,1.099,0.026,0,0.022,0.02,0.048,0.391,0.021,0,0,0.021,7.057431508,2.960127923,0,0.17050239,0,0.033855945
226,20110322,2,0,33.6467,11.758,0.51737375,10.12320192,0.261494,6.7450691,5.120617579,0.266976156,8.877438366,636.9936508,129.7126984,6.4835751,NaN,NaN,12.53170479,0.640466836,19.56651631,4.857,0.127,1.535,0.199,0.009,0.026,0.164,0.578,0.066,2.416,0.117,0,1.868,0,2.989,0.127,0,1.482,0.053,0,0.036,0.036,0.048,1.037,0.041,0,0,0.041,6.705523951,3.701009472,0,0.16646995,0,0.05093227
226,20110322,3,0,33.3622,12.1119,0.45313841,6.94339256,0.192454,7.56921,0.971266565,0.117849269,2.080803705,183,37.57460317,7.376756,NaN,NaN,16.2792556,1.062413789,15.32289562,1.466,0.078,0.298,0.056,0.012,0.045,0.037,0.199,0.023,0.716,0.051,0.008,1.249,0,0.217,0.078,0,0.265,0.033,0.006,0.013,0.019,0.012,0.076,0.023,0,0,0.023,1.818451334,0.617892969,0.024456565,0.110337582,0.144702009,0.014624542
226,20110322,4,0,33.4057,11.4388,0.69032184,11.01943544,0.214923,10.7812859,1.942827159,0.234997005,3.086689856,240.531746,53.16507937,10.5663629,NaN,NaN,15.30642997,0.958884233,15.96275071,3.183,0.099,0.612,0.099,0.018,0.062,0.074,0.205,0.024,1.232,0.053,0,2.919,0,0.264,0.099,0,0.568,0.044,0,0.016,0.023,0.03,0.161,0.027,0,0,0.027,3.388230638,1.675411735,0,0.098227774,0.051622076,0.00955411
226,20110322,4,10,33.4069,11.3958,0.77141675,11.07183064,0.20321,10.646416,NaN,NaN,3.737557366,NaN,NaN,10.443206,NaN,NaN,13.53769671,0.943223062,14.35259299,3.612,0.118,0.657,0.109,0,0.069,0.045,0.146,0.017,1.453,0.055,0,3.346,0,0.266,0.118,0,0.606,0.051,0,0.015,0.025,0.039,0.157,0.038,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
226,20110322,4,20,33.5503,11.0114,0.98711371,14.39269832,0.238711,14.4706364,NaN,NaN,3.481155014,NaN,NaN,14.2319254,NaN,NaN,14.41771627,0.98882955,14.58058801,2.641,0.081,0.51,0.07,0.011,0.034,0.008,0.069,0.004,1.2,0.041,0,2.298,0,0.343,0.081,0,0.434,0.076,0,0.01,0.008,0.032,0.173,0.022,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
226,20110322,4,30,33.708,10.3225,1.31442663,19.00121704,0.272163,18.4247129,NaN,NaN,2.376652573,NaN,NaN,18.1525499,NaN,NaN,13.81024204,0.955336169,14.45589781,1.829,0.023,0.365,0.051,0,0.009,0.003,0.052,0.005,0.891,0.011,0,1.557,0,0.272,0.023,0,0.309,0.056,0,0.003,0.003,0.034,0.179,0.005,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
226,20110322,4,50,33.807,9.3092,1.68915994,29.24505896,0.215702,26.3225853,NaN,NaN,0.244568398,NaN,NaN,26.1068833,NaN,NaN,15.45554253,0.892693817,17.31337469,0.183,0.007,0.033,0.007,0,0.006,0,0.007,0,0.093,0,0,0.179,0,0.004,0.007,0,0.026,0.007,0,0,0,0.009,0.051,0.002,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
226,20110322,4,75,33.9563,9.3046,1.85958215,33.74429552,0.10352,29.8638857,NaN,NaN,0.096643964,NaN,NaN,29.7603657,NaN,NaN,16.00379187,0.88193768,18.14617091,0.0615,0,0.01,0.0035,0,0,0,0.003,0,0.034,0,0,0.0605,0,0.001,0,0,0.009,0.001,0,0,0,0.007,0.04,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
227,20110413,1,0,33.4777,13.7075,0.32902691,5.97109448,0.243912,3.7213682,5.38023083,5.776273877,11.39018142,766.3079365,149.9,3.4774562,15,0.017626371,10.56891122,0.582381708,18.14773898,11.187,0.369,1.637,0.42,0.015,0.039,0.08,1.09,0.434,5.443,0.079,0.051,9.242,0,1.945,0.369,0,1.591,0.046,0.039,0.058,0.039,0.105,0.105,0.098,0,0,0.098,11.87077578,5.361318225,0.038184144,0.364299906,0.138627978,0.081426751
